tub,treatment,frequency,leq_test,leq_ambient,Leq
1,Quiet,1060,-80.59,-79.32,-1.27
1,Quiet,1070,-80.58,-79.4,-1.18
1,Quiet,1080,-80.57,-79.48,-1.09
1,Quiet,1090,-80.56,-79.55,-1.01
1,Quiet,1100,-80.55,-79.63,-0.92
1,Quiet,1110,-80.54,-79.7,-0.84
1,Quiet,1120,-80.53,-79.76,-0.77
1,Quiet,1130,-80.52,-79.82,-0.7
1,Quiet,1140,-80.51,-79.86,-0.65
1,Quiet,1150,-80.5,-79.89,-0.61
1,Quiet,1160,-80.5,-79.92,-0.58
1,Quiet,1170,-80.49,-79.93,-0.56
1,Quiet,1180,-80.49,-79.94,-0.55
1,Quiet,1190,-80.49,-79.94,-0.55
1,Quiet,1200,-80.49,-79.95,-0.54
1,Quiet,1210,-80.5,-79.95,-0.55
1,Quiet,1220,-80.52,-79.95,-0.57
1,Quiet,1230,-80.53,-79.95,-0.58
1,Quiet,1240,-80.56,-79.96,-0.6
1,Quiet,1250,-80.6,-79.96,-0.64
1,Quiet,1260,-80.65,-79.97,-0.68
1,Quiet,1270,-80.71,-79.98,-0.73
1,Quiet,1280,-80.78,-79.98,-0.8
1,Quiet,1290,-80.87,-79.98,-0.89
1,Quiet,1300,-80.96,-79.97,-0.99
1,Quiet,1310,-81.07,-79.97,-1.1
1,Quiet,1320,-81.19,-79.95,-1.24
1,Quiet,1330,-81.3,-79.94,-1.36
1,Quiet,1340,-81.42,-79.93,-1.49
1,Quiet,1350,-81.53,-79.92,-1.61
1,Quiet,1360,-81.63,-79.91,-1.72
1,Quiet,1370,-81.72,-79.92,-1.8
1,Quiet,1380,-81.78,-79.93,-1.85
1,Quiet,1390,-81.83,-79.95,-1.88
1,Quiet,1400,-81.84,-79.98,-1.86
1,Quiet,1410,-81.84,-80.01,-1.83
1,Quiet,1420,-81.81,-80.05,-1.76
1,Quiet,1430,-81.76,-80.09,-1.67
1,Quiet,1440,-81.7,-80.13,-1.57
1,Quiet,1450,-81.63,-80.17,-1.46
1,Quiet,1460,-81.55,-80.2,-1.35
1,Quiet,1470,-81.46,-80.22,-1.24
1,Quiet,1480,-81.37,-80.24,-1.13
1,Quiet,1490,-81.28,-80.24,-1.04
1,Quiet,1500,-81.19,-80.25,-0.94
1,Quiet,1510,-81.1,-80.24,-0.86
1,Quiet,1520,-81.02,-80.23,-0.79
1,Quiet,1530,-80.93,-80.22,-0.71
1,Quiet,1540,-80.85,-80.2,-0.65
1,Quiet,1550,-80.77,-80.18,-0.59
1,Quiet,1560,-80.68,-80.17,-0.51
1,Quiet,1570,-80.6,-80.15,-0.45
1,Quiet,1580,-80.51,-80.13,-0.38
1,Quiet,1590,-80.42,-80.12,-0.3
1,Quiet,1600,-80.33,-80.11,-0.22
1,Quiet,1610,-80.23,-80.11,-0.12
1,Quiet,1620,-80.14,-80.11,-0.03
1,Quiet,1630,-80.05,-80.12,0.07
1,Quiet,1640,-79.97,-80.13,0.16
1,Quiet,1650,-79.9,-80.16,0.26
1,Quiet,1660,-79.84,-80.19,0.35
1,Quiet,1670,-79.81,-80.23,0.42
1,Quiet,1680,-79.79,-80.28,0.49
1,Quiet,1690,-79.79,-80.33,0.54
1,Quiet,1700,-79.81,-80.39,0.58
1,Quiet,1710,-79.85,-80.46,0.61
1,Quiet,1720,-79.91,-80.53,0.62
1,Quiet,1730,-79.98,-80.6,0.62
1,Quiet,1740,-80.06,-80.68,0.62
1,Quiet,1750,-80.14,-80.75,0.61
1,Quiet,1760,-80.22,-80.82,0.6
1,Quiet,1770,-80.3,-80.89,0.59
1,Quiet,1780,-80.37,-80.95,0.58
1,Quiet,1790,-80.44,-81.01,0.57
1,Quiet,1800,-80.5,-81.06,0.56
1,Quiet,1810,-80.55,-81.11,0.56
1,Quiet,1820,-80.6,-81.16,0.56
1,Quiet,1830,-80.65,-81.2,0.55
1,Quiet,1840,-80.7,-81.25,0.55
1,Quiet,1850,-80.76,-81.3,0.54
1,Quiet,1860,-80.82,-81.35,0.53
1,Quiet,1870,-80.89,-81.41,0.52
1,Quiet,1880,-80.97,-81.47,0.5
1,Quiet,1890,-81.05,-81.53,0.48
1,Quiet,1900,-81.13,-81.59,0.46
1,Quiet,1910,-81.2,-81.65,0.45
1,Quiet,1920,-81.27,-81.72,0.45
1,Quiet,1930,-81.32,-81.77,0.45
1,Quiet,1940,-81.36,-81.82,0.46
1,Quiet,1950,-81.38,-81.87,0.49
1,Quiet,1960,-81.38,-81.91,0.53
1,Quiet,1970,-81.36,-81.95,0.59
1,Quiet,1980,-81.33,-81.99,0.66
1,Quiet,1990,-81.3,-82.03,0.73
2,Loud,0,-18.71,-19.1,0.39
2,Loud,10,-12.81,-13.21,0.4
2,Loud,20,-13.03,-13.45,0.42
2,Loud,30,-13.35,-13.81,0.46
2,Loud,40,-13.78,-14.29,0.51
2,Loud,50,-14.32,-14.9,0.58
2,Loud,60,-14.97,-15.63,0.66
2,Loud,70,-15.72,-16.48,0.76
2,Loud,80,-16.57,-17.47,0.9
2,Loud,90,-17.52,-18.59,1.07
2,Loud,100,-18.55,-19.85,1.3
2,Loud,110,-19.63,-21.25,1.62
2,Loud,120,-20.75,-22.8,2.05
2,Loud,130,-21.84,-24.5,2.66
2,Loud,140,-22.83,-26.37,3.54
2,Loud,150,-23.63,-28.4,4.77
2,Loud,160,-24.19,-30.62,6.43
2,Loud,170,-24.47,-33.02,8.55
2,Loud,180,-24.53,-35.63,11.1
2,Loud,190,-24.42,-38.45,14.03
2,Loud,200,-24.23,-41.48,17.25
2,Loud,210,-24.02,-44.72,20.7
2,Loud,220,-23.83,-48.1,24.27
2,Loud,230,-23.68,-51.45,27.77
2,Loud,240,-23.59,-54.45,30.86
2,Loud,250,-23.57,-56.7,33.13
2,Loud,260,-23.62,-58.08,34.46
2,Loud,270,-23.73,-58.9,35.17
2,Loud,280,-23.92,-59.49,35.57
2,Loud,290,-24.18,-60.02,35.84
2,Loud,300,-24.51,-60.57,36.06
2,Loud,310,-24.91,-61.13,36.22
2,Loud,320,-25.37,-61.7,36.33
2,Loud,330,-25.89,-62.27,36.38
2,Loud,340,-26.48,-62.82,36.34
2,Loud,350,-27.13,-63.35,36.22
2,Loud,360,-27.84,-63.83,35.99
2,Loud,370,-28.61,-64.26,35.65
2,Loud,380,-29.43,-64.64,35.21
2,Loud,390,-30.3,-64.96,34.66
2,Loud,400,-31.2,-65.24,34.04
2,Loud,410,-32.14,-65.48,33.34
2,Loud,420,-33.1,-65.7,32.6
2,Loud,430,-34.04,-65.89,31.85
2,Loud,440,-34.95,-66.07,31.12
